name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Magic Beans Cafe,"40B, near Vidyasthali College, Maharani Farm, Prithviraj Nagar, Durgapura, Jaipur, Rajasthan 302018",instagram.com,087643 89712,,4.8,26.8527261,75.6695588
Crazy Coffee | Durgapura,"Shop No 7 and 8, Jadon Nagar-B, Mahaveer Nagar, Durgapura, Jaipur, Rajasthan 302018",crazycoffeeindia.com,095495 69549,,4.8,26.8527261,75.6695588
The Pawfee House,"FS-6, Gayatri Nagar, Maharani Farm, Durgapura, Jaipur, Rajasthan 302018",,092566 00644,,4.6,26.8527261,75.6695588
The Messy Door Cafe - Mansarovar,"Namokar Building, M-1-A, Raghu Vihar, Main 30, Shipra Path, Mansarovar, Jaipur, Rajasthan 302020",,093510 57718,,4.5,26.8527261,75.6695588
Cafe Diona,"3rd floor (rooftop) Krishna tower Kailash puri, opp. BMW showroom, Durgapura, Jaipur, Rajasthan 302015",,097836 42464,,4.2,26.8527261,75.6695588
Dine 'N' Delight Roof Top Cafe,"Roof Top, near Durgapura Railway Station, Mahavir Nagar, Mahaveer Nagar, Durgapura, Jaipur, Rajasthan 302018",,093761 52742,,4.8,26.8527261,75.6695588
Cafe LazyMojo,"H1, H2, SL Marg, opp. Genpact Jaipur, Lal Bahadur Nagar, Malviya Nagar, Jaipur, Rajasthan 302018",,098289 50999,,4.3,26.8527261,75.6695588
Chai Junction Cafe,"Shop No 20, Ke Samne, Durgapura Railway Station, Madhav Nagar, Nalanda Vihar, Durgapura, Jaipur, Rajasthan 302018",,099294 30054,,5.0,26.8527261,75.6695588
The Farm Coffee Bar,"Gandhi Path Rd, near Janki Garden, B Block, Vaishali Nagar, Jaipur, Rajasthan 302021",instagram.com,083022 90667,,4.5,26.9079041,75.5890706
RANGOON COFFEE BREWERY JAIPUR - Best Cafes in Jaipur | Coffee Shops in Jaipur | Coffee House in Jaipur,"Govt Hostel Chauraha, 5, Ajmer Rd, near Kalyan Jewellers, Gopalbari, Jaipur, Rajasthan 302001",instagram.com,095297 77778,,4.7,26.9079041,75.5890706
Let's Go Cafe & Rooftop,"3rd floor, Balaji Tower, Maharani Farm, Prithviraj Nagar, Durgapura, Jaipur, Rajasthan 302018",,,,4.1,26.9079041,75.5890706
4 friends Cafe,"59a, maharani farm,nalanda vihar Durgapura , Jaipur 302018, Jaipur, Rajasthan 302020",,,,3.5,26.9079041,75.5890706
The Hunger bites cafe,"C, Mokshadam ke samne, vinayak bhavan, 300, Mahaveer Nagar 2, Maharani Farm, Gayatri Nagar B, Durgapura, Jaipur, Rajasthan 302018",,082399 10174,,4.9,26.9079041,75.5890706
Thiya 4.0,"Thiya 4.0, Maharani Farm Brg, IHITC Durgapur, Mansrover, Jaipur, Rajasthan 302020",,,,4.6,26.9079041,75.5890706
Gulab ji chai Mansarovar,"Plot no 1, SMS Colony, Maharani Farm, IHITC Durgapur, Mansarovar, Jaipur, Rajasthan 302020",,098296 64488,,3.9,26.9079041,75.5890706
EK CUP CHAI,"44, Prithviraj Nagar, Durgapura, Jaipur, Rajasthan 302018",,080586 82541,,4.9,26.9079041,75.5890706
Swaad Wala's,"Durgapura Railway Station, Plot no. 07, opp. power, Mahaveer Nagar 2, Mahaveer Nagar, Durgapura, Jaipur, Rajasthan 302018",sites.google.com,092575 66158,,4.8,26.9079041,75.5890706
Bite Delightt - Indo Italian Garden Restaurant,"71 / 71A - Shipra Path, Puliya, near Dravyavati River, Maharani Farm, Mansarovar, Jaipur, Rajasthan 302020",,,,4.2,26.9079041,75.5890706
Jaipur18 Sweets and Restaurant,"299, Mahaveer Nagar 2nd, Maharani Farm,, Durgapura, Jaipur, Rajasthan 302018",,082902 09933,,4.4,26.9079041,75.5890706
KIBANA- Restaurants & Banquets,"D, 1, D-2, Mansarovar, near river, Maharani Farm, Gayatri Nagar B, Durgapura, Jaipur, Rajasthan 302018",kibanabanqueteste.com,098288 55544,,4.5,26.9079041,75.5890706
The Friends Cafe,"Agra Rd, near Amul Parlour, Chander Nagar, Prem Nagar, Jaipur, Rajasthan 302031",,092574 80019,,4.6,26.8874879,75.7418409
Jaipur cafe,"Moti Dungri Road, Bhabha Marg, near ICICI bank, Dairy, Jaipur, Rajasthan 302004",,,,4.6,26.8966746,75.6738723
Ginger cafe,"XQW6+5FQ, New Loha Mandi, Harmada, Jaipur, Rajasthan 302013",,,,4.9,26.995454,75.6170397
"Rio The Hungry Birds Cafe & Restro : Best Cafe In Vaishali Nagar, Jaipur.","97, Gandhi Path Rd, Vaishali nagar, Lalarpura, Jaipur, Rajasthan 302021",sites.google.com,093522 32365,,4.6,26.995454,75.6170397
Highway Cafe,"73 Green Vatika, Near Nangal Puliya, Nangal Jaisa Bohara, Jhotwara, Near Nangal Puliya, near Nangal Road, puliya, Jaipur, Rajasthan 302012",,078779 24655,,4.8,26.995454,75.6170397
Nibs Experia,"MGF Metropolitan Mall, B-16, Bhawani Singh Rd, Durgadas Colony, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001",,097999 99214,,4.3,26.995454,75.6170397
